context_length,store_id,test_name,MAE,RMSE,PercentDifference,Interval_Covariates,Interval_Noise,Interval_StrongNoise,Interval_Shuffle,Interval_MissingFuture,Interval_TimeShift,Interval_TrendBreak,Interval_FeatureDrop,Interval_PartialMask,Interval_Scaling
512,961,TrendBreak,1135.5491152333334,1497.325702205054,33.34065093818827,1681.1106736666666,,,,,,3329.448871333333,,,
512,961,FeatureDrop,717.5266173333332,819.1327476447466,-25.40587983593156,1681.1106736666666,,,,,,,1801.5865173333334,,
512,961,PartialMask,367.7707631333334,463.97661320054453,-22.81641056837858,1681.1106736666666,,,,,,,,1906.1766346666668,
512,961,Scaling,216.7031396666666,258.9214474625103,-18.71389851444813,1681.1106736666666,,,,,,,,,1561.4514317666667
512,962,Noise,243.88201359999994,283.7968085011101,-10.685345115137173,1824.5749806666668,1830.6974326666664,,,,,,,,
512,962,StrongNoise,1152.405024,1293.2308332136033,-6.344635300111462,1824.5749806666668,,2455.143050333333,,,,,,,
512,962,Shuffle,1191.5131076666664,1332.513071928396,-6.51203089259522,1824.5749806666668,,,2278.573217333333,,,,,,
512,962,MissingFuture,285.42229333333324,339.08723331035617,-15.80365109050218,1824.5749806666668,,,,1813.6359796666666,,,,,
512,962,TimeShift,970.0373589999998,1102.6290231198584,-17.22581545459864,1824.5749806666668,,,,,2250.524105333333,,,,
512,962,TrendBreak,1872.819402,2516.2153051404243,48.00758741491606,1824.5749806666668,,,,,,3747.276354666667,,,
512,962,FeatureDrop,1175.2938453333334,1314.704356228702,-5.929491790056255,1824.5749806666668,,,,,,,2471.161465333333,,
512,962,PartialMask,545.331023666667,677.0847258199977,-5.156972913079942,1824.5749806666668,,,,,,,,2397.52579,
512,962,Scaling,365.1123651666665,412.6295892008564,-13.965363355546426,1824.5749806666668,,,,,,,,,1871.7124006666666
512,963,Noise,234.56217566666677,315.3618625961174,-9.743722582676986,2490.801203833333,2285.4864066666664,,,,,,,,
512,963,StrongNoise,1595.5612566666666,1815.263438189547,-14.474117526324024,2490.801203833333,,3008.7939195,,,,,,,
512,963,Shuffle,1692.4249266666664,1924.9380868473174,-12.796020131047564,2490.801203833333,,,2870.997269666666,,,,,,
512,963,MissingFuture,349.9552740666666,435.3146865687622,-14.371367097190852,2490.801203833333,,,,2420.721443666667,,,,,
512,963,TimeShift,1218.6470473333331,1410.5526557991352,-17.094482045621763,2490.801203833333,,,,,2616.058789666667,,,,
512,963,TrendBreak,2799.5145783333337,3730.131093012432,50.04783160597307,2490.801203833333,,,,,,6124.42174,,,
512,963,FeatureDrop,1640.7234230000001,1860.62781082715,-13.19540899669939,2490.801203833333,,,,,,,2935.7886315666674,,
512,963,PartialMask,685.032590333333,836.6177270892092,-11.485973175755058,2490.801203833333,,,,,,,,3088.2686160000003,
512,963,Scaling,377.9453039999998,468.4212670367771,-12.457604361957015,2490.801203833333,,,,,,,,,2294.7383056666663
512,964,Noise,179.13605266666676,219.50571796218887,-5.704460554529664,2558.651054266667,2290.553901333333,,,,,,,,
512,964,StrongNoise,950.5885199999999,1092.8157319650018,-17.073202175100498,2558.651054266667,,2897.9951516666665,,,,,,,
512,964,Shuffle,998.68672,1134.3625870999251,-15.90203485829952,2558.651054266667,,,2933.5870562433333,,,,,,
512,964,MissingFuture,223.45128356666675,276.14260606091204,-7.216362722551191,2558.651054266667,,,,2442.027694666667,,,,,
512,964,TimeShift,648.9940353333334,793.191689893214,-17.621191241559966,2558.651054266667,,,,,2658.5380796666673,,,,
512,964,TrendBreak,2302.263953666667,3144.93749868138,36.91958503995405,2558.651054266667,,,,,,5326.310288333334,,,
512,964,FeatureDrop,958.3428479999999,1092.0704587482046,-15.685498011104182,2558.651054266667,,,,,,,2934.248455,,
512,964,PartialMask,698.2794365633332,818.572624143054,-8.757278179763187,2558.651054266667,,,,,,,,3026.5687503333334,
512,964,Scaling,200.20834299999981,246.20140894099623,-7.140001873154381,2558.651054266667,,,,,,,,,2326.7233783333336
512,965,Noise,207.1125356666667,257.4781686820551,-10.948089398829058,2340.008116,2113.8165056666667,,,,,,,,
512,965,StrongNoise,1191.9959096666666,1344.0188755680042,1.1925671959714785,2340.008116,,2668.6682988666666,,,,,,,
512,965,Shuffle,1242.6825503333334,1402.3589661565693,2.0248790089689215,2340.008116,,,2552.6967786666664,,,,,,
512,965,MissingFuture,227.7177263333333,283.1162956049482,-11.800807078459776,2340.008116,,,,2186.9677053333335,,,,,
512,965,TimeShift,843.5994916666665,983.2464046464843,-6.453061095697052,2340.008116,,,,,2419.453371,,,,
512,965,TrendBreak,2353.255971,3218.6030119476895,80.55540122673625,2340.008116,,,,,,5953.131329,,,
512,965,FeatureDrop,1166.6965803333335,1298.4748635045717,4.086180024175222,2340.008116,,,,,,,2631.040464766666,,
512,965,PartialMask,649.5986401000002,765.4143774962655,0.1706024701482424,2340.008116,,,,,,,,2707.187105,
512,965,Scaling,241.3445553333334,290.2558248075515,-11.198034787500012,2340.008116,,,,,,,,,2128.3383123333333
512,966,Noise,85.91323799999995,105.25290918733232,-5.455006059711962,1144.1404993333333,1097.380197,,,,,,,,
512,966,StrongNoise,326.4138223333333,375.8481780727182,-5.456526437408874,1144.1404993333333,,1205.1719445000003,,,,,,,
512,966,Shuffle,367.7211043333334,417.20524337478946,-2.8650407849093074,1144.1404993333333,,,1256.4324791666668,,,,,,
512,966,MissingFuture,89.50436733333336,117.17852401972283,-8.79732830987375,1144.1404993333333,,,,1080.9018926666665,,,,,
512,966,TimeShift,252.85588149999998,309.2629961225762,-12.07231040095185,1144.1404993333333,,,,,1125.3581561666665,,,,
512,966,TrendBreak,572.3024193333334,751.1934488781004,41.65835513258268,1144.1404993333333,,,,,,2052.2373713333336,,,
512,966,FeatureDrop,332.18392100000005,372.4458383105673,-5.235096699504375,1144.1404993333333,,,,,,,1208.0131591333334,,
512,966,PartialMask,151.6176065,192.69346481687322,-8.779362680897423,1144.1404993333333,,,,,,,,1354.9594253333335,
512,966,Scaling,77.62368196666664,98.20756507612396,-8.092717335462398,1144.1404993333333,,,,,,,,,1112.051411
512,967,Noise,156.3997250666667,204.4197099541529,-20.677235456568155,2044.9737343333331,2051.5682309999997,,,,,,,,
512,967,StrongNoise,689.5909417333334,814.0357090010076,-34.12288434155702,2044.9737343333331,,2355.406094666667,,,,,,,
512,967,Shuffle,770.2158074,886.0918907656564,-27.038453048495292,2044.9737343333331,,,2285.967011333333,,,,,,
512,967,MissingFuture,175.97925116666664,233.20842734357043,-22.405125747678614,2044.9737343333331,,,,1990.9486933333335,,,,,
512,967,TimeShift,555.8123677333333,684.816883378446,-43.29922150969005,2044.9737343333331,,,,,2115.4070683333334,,,,
512,967,TrendBreak,1143.1675909666665,1516.2937527649683,63.51960805018879,2044.9737343333331,,,,,,3559.876995666667,,,
512,967,FeatureDrop,699.2238133999998,811.1530627949426,-34.14499760111684,2044.9737343333331,,,,,,,2307.0829346666665,,
512,967,PartialMask,384.82517623333337,498.91365548049055,-39.51631293106736,2044.9737343333331,,,,,,,,2356.254424333333,
512,967,Scaling,180.44389140000004,224.74118212899953,-27.138648561122025,2044.9737343333331,,,,,,,,,2043.1085696666667
512,968,Noise,132.98159066666662,178.97672032831161,-12.488548213834818,1342.4459724,1215.6149416666665,,,,,,,,
512,968,StrongNoise,517.9137863333333,629.8923719538004,-20.961012989948586,1342.4459724,,1371.518430133333,,,,,,,
512,968,Shuffle,555.7099143333332,657.0126496476342,-18.368533642214928,1342.4459724,,,1387.887869,,,,,,
512,968,MissingFuture,172.5415995,221.86653357998415,-14.292325952116622,1342.4459724,,,,1330.1509023333338,,,,,
512,968,TimeShift,397.875866,479.67115277927724,-20.755192180128194,1342.4459724,,,,,1280.8649903333333,,,,
512,968,TrendBreak,692.5806701666666,931.9676714386153,16.789698526365747,1342.4459724,,,,,,2241.7447303333333,,,
512,968,FeatureDrop,540.1409793333332,636.556524862701,-19.571809401184602,1342.4459724,,,,,,,1365.2749592000002,,
512,968,PartialMask,325.26742069999995,400.88003026658373,-15.99502365501086,1342.4459724,,,,,,,,1520.16348,
512,968,Scaling,141.85652766666655,187.7752941358514,-13.780936060384963,1342.4459724,,,,,,,,,1223.5458353333336
512,969,Noise,96.99849263333337,117.93575557843866,14.701273029985446,1136.6439068333332,978.5349783333334,,,,,,,,
512,969,StrongNoise,311.65222063333323,368.7708668308484,-28.649924304010995,1136.6439068333332,,1420.904503,,,,,,,
512,969,Shuffle,360.7013483,411.0550311994751,-16.719433495036093,1136.6439068333332,,,1352.7704676666665,,,,,,
512,969,MissingFuture,115.98574636666662,138.7784023532049,16.040579145069163,1136.6439068333332,,,,1044.5768591,,,,,
512,969,TimeShift,202.3542329466667,257.7735520926202,-13.022735627896006,1136.6439068333332,,,,,1140.2197607333335,,,,
512,969,TrendBreak,1211.1186623666665,1617.9654564731154,102.09885563362928,1136.6439068333332,,,,,,3547.6479249999993,,,
512,969,FeatureDrop,311.7733516333334,363.4517879250101,-28.716866563063377,1136.6439068333332,,,,,,,1327.3092030000003,,
512,969,PartialMask,315.4321377,355.0283229641535,5.8348414181804165,1136.6439068333332,,,,,,,,1439.3197960999998,
512,969,Scaling,92.9636211333333,113.79304339929256,13.713439005697975,1136.6439068333332,,,,,,,,,992.5893649000002
512,97,Noise,126.26993473333332,166.0799679569481,-5.97240268131311,1562.4012482333335,1346.9173361333335,,,,,,,,
