store_id,context_len,mae_all,mae_open,mae_closed,n_open,n_closed
511,512,414.3021647135417,426.62252103365387,334.2198486328125,26,4
513,512,1371.1599934895833,1457.3181715745193,811.1318359375,26,4
515,512,802.9660481770833,833.9243727463943,601.7369384765625,26,4
516,512,769.3781412760417,822.0612980769231,426.9376220703125,26,4
517,512,750.8814615885417,805.9635479266827,392.847900390625,26,4
519,512,544.8754801432292,571.7574275090144,370.142822265625,26,4
520,512,426.2119873046875,449.1213942307692,277.30084228515625,26,4
521,512,577.713916015625,612.213632436899,353.46575927734375,26,4
523,512,924.0442057291667,976.3819861778846,583.8486328125,26,4
524,512,663.6838216145833,663.6838216145833,,30,0
525,512,697.7733561197916,737.1690955528846,441.7010498046875,26,4
526,512,849.8410807291667,857.0337853064904,803.0885009765625,26,4
527,512,1072.3535319010416,1131.6155536358174,687.150390625,26,4
528,512,1148.1089680989583,1177.735088641827,955.5391845703125,26,4
529,512,775.1638346354167,812.0912522536057,535.1356201171875,26,4
530,512,712.796875,712.796875,,30,0
531,512,403.66754557291665,435.75381234975964,195.1068115234375,26,4
532,512,653.7214192708333,692.3145658052885,402.865966796875,26,4
533,512,882.5531575520833,878.0257662259615,911.981201171875,26,4
535,512,624.4177408854167,662.7829026442307,375.044189453125,26,4
536,512,937.4527669270833,1016.3756760817307,424.453857421875,26,4
537,512,565.0451090494792,585.7512488731971,430.4552001953125,26,4
538,512,330.3385416666667,344.9585712139423,235.308349609375,26,4
541,512,748.2889892578125,791.883291391226,464.926025390625,26,4
543,512,257.7077962239583,268.8683330829327,185.164306640625,26,4
544,512,1243.9892903645834,1280.6607196514424,1005.625,26,4
545,512,995.7109537760417,971.9324481670673,1150.271240234375,26,4
546,512,1832.3876953125,2013.8933668870193,652.600830078125,26,4
548,512,737.2690755208333,751.5188269981971,644.6456909179688,26,4
549,512,386.225537109375,400.38675631009613,294.1776123046875,26,4
550,512,556.2533528645833,596.6348219651443,293.7738037109375,26,4
551,512,904.013623046875,1002.6461838942307,262.9019775390625,26,4
552,512,907.9105875651042,965.0668663611779,536.394775390625,26,4
553,512,655.0527180989583,690.0972430889423,427.2633056640625,26,4
554,512,469.54835611979166,495.08022836538464,303.5911865234375,26,4
556,512,615.6972981770833,642.3284254807693,442.594970703125,26,4
557,512,477.3160725911458,527.9078087439904,148.46978759765625,26,4
558,512,415.2561767578125,431.4472844050481,310.01397705078125,26,4
559,512,619.1180094401042,674.6490102914663,258.16650390625,26,4
560,512,1510.233984375,1604.945575420673,894.608642578125,26,4
