context_length,store_id,mode,wql,mae,rmse,p10_under,p90_over
512,753,covariate,0.04756228116750962,511.67700320000006,619.2755045133919,0.0,0.3
512,754,covariate,0.041665131189208095,409.82948116666677,517.3219894650729,0.03333333333333333,0.16666666666666666
512,755,covariate,0.031230182345803843,472.82043050000004,567.1703184925024,0.0,0.16666666666666666
512,756,covariate,0.04833908193328198,1081.1103213333333,1473.9333530165436,0.16666666666666666,0.16666666666666666
512,757,covariate,0.03705193739061018,351.05923099999995,453.30612807123043,0.16666666666666666,0.13333333333333333
512,758,covariate,0.03436602707149677,235.07457386666667,304.4482048345527,0.06666666666666667,0.1
512,759,covariate,0.04726393741854259,453.0525824333333,623.567791087103,0.03333333333333333,0.16666666666666666
512,760,covariate,0.03678135186346107,421.2544967666667,514.9528788802767,0.06666666666666667,0.26666666666666666
512,761,covariate,0.04444087483094188,551.1122023333335,702.0384354680629,0.03333333333333333,0.16666666666666666
512,762,covariate,0.041955272882180046,260.977451,322.70831941729944,0.06666666666666667,0.16666666666666666
512,763,covariate,0.041566297101298624,364.44259366666665,451.6322251720993,0.03333333333333333,0.2
512,764,covariate,0.04906322325720544,284.59851033333325,341.6494802687458,0.23333333333333334,0.1
512,765,covariate,0.04095913583421498,517.83572823,630.3825341513427,0.13333333333333333,0.06666666666666667
512,767,covariate,0.04244724968703975,347.4221533900002,447.26719574466847,0.0,0.3
512,768,covariate,0.04444820394702417,831.0665707666669,1026.587487756827,0.03333333333333333,0.26666666666666666
512,769,covariate,0.0495793339528689,888.7875166666665,1296.0273777228274,0.16666666666666666,0.16666666666666666
512,770,covariate,0.047731504238452994,316.5948056666667,390.9225420664611,0.0,0.16666666666666666
512,772,covariate,0.05542408973753004,284.802258,375.2667030391651,0.13333333333333333,0.26666666666666666
512,773,covariate,0.04809848527175522,364.6069690000001,419.7435078951882,0.3,0.03333333333333333
512,774,covariate,0.03523719245013811,247.8208855333334,331.0598672618076,0.0,0.16666666666666666
512,776,covariate,0.04901342991630555,303.2523288,406.050761974137,0.13333333333333333,0.16666666666666666
512,777,covariate,0.040845769074189756,268.38470133333334,319.2199896950592,0.1,0.13333333333333333
512,779,covariate,0.029990600392446876,271.66919866666655,340.0113487148203,0.0,0.13333333333333333
